,Date,Round,Home.Team,Home.Goals,Home.Behinds,P_Home,Away.Team,Away.Goals,Away.Behinds,P_Away,Venue,Margin,Season,Round.Type,home_win,Year,Team_Home,CP_Home,D_Home,CL_Home,I50_Home,MI5_Home,Team_Away,CP_Away,D_Away,CL_Away,I50_Away,MI5_Away,P_diff_5,CP_diff_5,D_diff_5,CL_diff_5,I50_diff_5,MI5_diff_5
95,2012-06-11,R11,Melbourne,13,9,87,Collingwood,19,15,129,M.C.G.,-42,2012,Regular,0.0,2012,Melbourne,130.0,308.0,33.0,45.0,14.0,Collingwood,149.0,384.0,41.0,55.0,13.0,,,,,,
96,2012-06-14,R12,West Coast,10,19,79,Carlton,10,9,69,Subiaco,10,2012,Regular,1.0,2012,West Coast,160.0,346.0,51.0,55.0,9.0,Carlton,143.0,317.0,46.0,46.0,7.0,11.0,-1.799999999999983,29.600000000000023,2.0,5.199999999999996,0.0
97,2012-06-15,R12,Adelaide,17,13,115,St Kilda,16,15,111,Football Park,4,2012,Regular,1.0,2012,Adelaide,166.0,373.0,36.0,56.0,15.0,St Kilda,139.0,365.0,43.0,56.0,9.0,-9.600000000000009,17.80000000000001,-0.39999999999997726,4.0,-1.6000000000000014,-1.5999999999999996
98,2012-06-16,R12,GWS,12,2,74,Richmond,11,20,86,Sydney Showground,-12,2012,Regular,0.0,2012,GWS,154.0,294.0,36.0,35.0,6.0,Richmond,191.0,351.0,48.0,66.0,9.0,-27.0,-4.0,-35.400000000000034,1.8000000000000043,-10.199999999999996,-3.1999999999999993
99,2012-06-16,R12,Gold Coast,12,8,80,North Melbourne,11,21,87,Carrara,-7,2012,Regular,0.0,2012,Gold Coast,141.0,365.0,34.0,51.0,7.0,North Melbourne,143.0,400.0,38.0,64.0,12.0,,,,,,
100,2012-06-17,R12,Hawthorn,19,21,135,Brisbane Lions,11,4,70,M.C.G.,65,2012,Regular,1.0,2012,Hawthorn,155.0,363.0,39.0,71.0,13.0,Brisbane Lions,150.0,306.0,41.0,41.0,7.0,,,,,,
101,2012-06-17,R12,Footscray,13,17,95,Port Adelaide,8,9,57,Docklands,38,2012,Regular,1.0,2012,Footscray,160.0,416.0,37.0,59.0,17.0,Port Adelaide,131.0,326.0,24.0,44.0,10.0,-12.799999999999997,15.0,14.399999999999977,3.200000000000003,3.0,-0.20000000000000018
102,2012-06-22,R13,Sydney,12,8,80,Geelong,11,8,74,S.C.G.,6,2012,Regular,1.0,2012,Sydney,150.0,353.0,41.0,47.0,8.0,Geelong,155.0,366.0,37.0,59.0,9.0,28.799999999999997,16.599999999999994,12.199999999999989,7.799999999999997,10.200000000000003,1.3999999999999986
103,2012-06-23,R13,Footscray,7,14,56,Brisbane Lions,18,6,114,Docklands,-58,2012,Regular,0.0,2012,Footscray,157.0,361.0,39.0,50.0,10.0,Brisbane Lions,132.0,386.0,35.0,53.0,15.0,-4.6000000000000085,14.0,39.400000000000034,1.2000000000000028,11.399999999999999,0.0
104,2012-06-23,R13,Collingwood,12,13,85,West Coast,12,10,82,M.C.G.,3,2012,Regular,1.0,2012,Collingwood,142.0,374.0,36.0,43.0,10.0,West Coast,135.0,365.0,36.0,52.0,10.0,-7.599999999999994,16.80000000000001,42.599999999999966,7.399999999999999,1.0,1.6000000000000014
